"id","title","abstract","publication_year","topics","topic_ids","primary_topic","concepts"
"W3093115118","Mining Dual Emotion for Fake News Detection","Emotion plays an important role in detecting fake news online. When leveraging emotional signals, the existing methods focus on exploiting the emotions of news contents that conveyed by the publishers (i.e., publisher emotion). However, fake news often evokes high-arousal or activating emotions of people, so the emotions of news comments aroused in the crowd (i.e., social emotion) should not be ignored. Furthermore, it remains to be explored whether there exists a relationship between publisher emotion and social emotion (i.e., dual emotion), and how the dual emotion appears in fake news. In this paper, we verify that dual emotion is distinctive between fake and real news and propose Dual Emotion Features to represent dual emotion and the relationship between them for fake news detection. Further, we exhibit that our proposed features can be easily plugged into existing fake news detectors as an enhancement. Extensive experiments on three real-world datasets (one in English and the others in Chinese) show that our proposed feature set: 1) outperforms the state-of-the-art task-related emotional features; 2) can be well compatible with existing fake news detectors and effectively improve the performance of detecting fake news.1 2","2021","[""Misinformation and Its Impacts"", ""Sentiment Analysis and Opinion Mining"", ""Spam and Phishing Detection""]","[""T11147"", ""T10664"", ""T11644""]","Misinformation and Its Impacts","[""Dual (grammatical number)"", ""Emotion detection"", ""Fake news"", ""Focus (optics)"", ""Computer science"", ""Feature (linguistics)"", ""Social media"", ""Dual role"", ""Psychology"", ""Sentiment analysis"", ""Emotion classification"", ""Key (lock)"", ""Internet privacy"", ""Affect (linguistics)"", ""Detector"", ""Cognitive psychology"", ""Feeling"", ""Artificial intelligence"", ""Natural (archaeology)"", ""Social psychology""]"
"W3148001275","WELFake: Word Embedding Over Linguistic Features for Fake News Detection","Social media is a popular medium for the dissemination of real-time news all over the world. Easy and quick information proliferation is one of the reasons for its popularity. An extensive number of users with different age groups, gender, and societal beliefs are engaged in social media websites. Despite these favorable aspects, a significant disadvantage comes in the form of fake news, as people usually read and share information without caring about its genuineness. Therefore, it is imperative to research methods for the authentication of news. To address this issue, this article proposes a two-phase benchmark model named WELFake based on word embedding (WE) over linguistic features for fake news detection using machine learning classification. The first phase preprocesses the data set and validates the veracity of news content by using linguistic features. The second phase merges the linguistic feature sets with WE and applies voting classification. To validate its approach, this article also carefully designs a novel WELFake data set with approximately 72 000 articles, which incorporates different data sets to generate an unbiased classification output. Experimental results show that the WELFake model categorizes the news in real and fake with a 96.73% which improves the overall accuracy by 1.31% compared to bidirectional encoder representations from transformer (BERT) and 4.25% compared to convolutional neural network (CNN) models. Our frequency-based and focused analyzing writing patterns model outperforms predictive-based related works implemented using the Word2vec WE method by up to 1.73%.","2021","[""Misinformation and Its Impacts"", ""Spam and Phishing Detection"", ""Sentiment Analysis and Opinion Mining""]","[""T11147"", ""T11644"", ""T10664""]","Misinformation and Its Impacts","[""Computer science"", ""Word embedding"", ""Social media"", ""Popularity"", ""Artificial intelligence"", ""Word2vec"", ""Convolutional neural network"", ""Benchmark (surveying)"", ""Voting"", ""Feature engineering"", ""Encoder"", ""Feature (linguistics)"", ""Set (abstract data type)"", ""Natural language processing"", ""Machine learning"", ""Embedding"", ""Deep learning"", ""World Wide Web"", ""Linguistics"", ""Operating system"", ""Politics"", ""Social psychology"", ""Philosophy"", ""Programming language"", ""Political science"", ""Geodesy"", ""Law"", ""Geography"", ""Psychology""]"
"W3138953784","A benchmark study of machine learning models for online fake news detection","The proliferation of fake news and its propagation on social media has become a major concern due to its ability to create devastating impacts. Different machine learning approaches have been suggested to detect fake news. However, most of those focused on a specific type of news (such as political) which leads us to the question of dataset-bias of the models used. In this research, we conducted a benchmark study to assess the performance of different applicable machine learning approaches on three different datasets where we accumulated the largest and most diversified one. We explored a number of advanced pre-trained language models for fake news detection along with the traditional and deep learning ones and compared their performances from different aspects for the first time to the best of our knowledge. We find that BERT and similar pre-trained models perform the best for fake news detection, especially with very small dataset. Hence, these models are significantly better option for languages with limited electronic contents, i.e., training data. We also carried out several analysis based on the models’ performance, article’s topic, article’s length, and discussed different lessons learned from them. We believe that this benchmark study will help the research community to explore further and news sites/blogs to select the most appropriate fake news detection method.","2021","[""Misinformation and Its Impacts"", ""Spam and Phishing Detection"", ""Sentiment Analysis and Opinion Mining""]","[""T11147"", ""T11644"", ""T10664""]","Misinformation and Its Impacts","[""Benchmark (surveying)"", ""Computer science"", ""Fake news"", ""Machine learning"", ""Online learning"", ""Artificial intelligence"", ""Data science"", ""World Wide Web"", ""Internet privacy"", ""Geography"", ""Cartography""]"
"W3156558703","Hierarchical Multi-modal Contextual Attention Network for Fake News Detection","Nowadays, detecting fake news on social media platforms has become a top priority since the widespread dissemination of fake news may mislead readers and have negative effects. To date, many algorithms have been proposed to facilitate the detection of fake news from the hand-crafted feature extraction methods to deep learning approaches. However, these methods may suffer from the following limitations: (1) fail to utilize the multi-modal context information and extract high-order complementary information for each news to enhance the detection of fake news; (2) largely ignore the full hierarchical semantics of textual content to assist in learning a better news representation. To overcome these limitations, this paper proposes a novel hierarchical multi-modal contextual attention network (HMCAN) for fake news detection by jointly modeling the multi-modal context information and the hierarchical semantics of text in a unified deep model. Specifically, we employ BERT and ResNet to learn better representations for text and images, respectively. Then, we feed the obtained representations of images and text into a multi-modal contextual attention network to fuse both inter-modality and intra-modality relationships. Finally, we design a hierarchical encoding network to capture the rich hierarchical semantics for fake news detection. Extensive experiments on three public real datasets demonstrate that our proposed HMCAN achieves state-of-the-art performance.","2021","[""Misinformation and Its Impacts"", ""Spam and Phishing Detection"", ""Topic Modeling""]","[""T11147"", ""T11644"", ""T10028""]","Misinformation and Its Impacts","[""Computer science"", ""Semantics (computer science)"", ""Modal"", ""Context (archaeology)"", ""Representation (politics)"", ""Artificial intelligence"", ""Modality (human–computer interaction)"", ""Feature (linguistics)"", ""Social media"", ""Feature learning"", ""Deep learning"", ""Natural language processing"", ""World Wide Web"", ""Linguistics"", ""Law"", ""Programming language"", ""Polymer chemistry"", ""Chemistry"", ""Political science"", ""Philosophy"", ""Politics"", ""Biology"", ""Paleontology""]"
"W2924545743","Hierarchical Propagation Networks for Fake News Detection: Investigation and Exploitation","Consuming news from social media is becoming increasingly popular. However, social media also enables the wide dissemination of fake news. Because of the detrimental effects of fake news, fake news detection has attracted increasing attention. However, the performance of detecting fake news only from news content is generally limited as fake news pieces are written to mimic true news. In the real world, news pieces spread through propagation networks on social media. The news propagation networks usually involve multi-levels. In this paper, we study the challenging problem of investigating and exploiting news hierarchical propagation network on social media for fake news detection.In an attempt to understand the correlations between news propagation networks and fake news, first, we build hierarchical propagation networks for fake news and true news pieces; second, we perform a comparative analysis of the propagation network features from structural, temporal, and linguistic perspectives between fake and real news, which demonstrates the potential of utilizing these features to detect fake news; third, we show the effectiveness of these propagation network features for fake news detection. We further validate the effectiveness of these features from feature importance analysis. We conduct extensive experiments on real-world datasets and demonstrate the proposed features can significantly outperform state-of-the-art fake news detection methods by at least 1.7% with an average F1&gt;0.84. Altogether, this work presents a data-driven view of hierarchical propagation network and fake news and paves the way towards a healthier online news ecosystem.","2020","[""Misinformation and Its Impacts"", ""Complex Network Analysis Techniques"", ""Spam and Phishing Detection""]","[""T11147"", ""T10064"", ""T11644""]","Misinformation and Its Impacts","[""Fake news"", ""Computer science"", ""Social media"", ""News media"", ""Key (lock)"", ""Feature (linguistics)"", ""Social network analysis"", ""Data science"", ""World Wide Web"", ""Internet privacy"", ""Advertising"", ""Computer security"", ""Linguistics"", ""Business"", ""Philosophy""]"
"W4308497888","Multimodal fake news detection via progressive fusion networks","Multimodal fake news detection methods based on semantic information have achieved great success. However, these methods only exploit the deep features of multimodal information, which leads to a large loss of valid information at the shallow level. To address this problem, we propose a progressive fusion network (MPFN) for multimodal disinformation detection, which captures the representational information of each modality at different levels and achieves fusion between modalities at the same level and at different levels by means of a mixer to establish a strong connection between the modalities. Specifically, we use a transformer structure, which is effective in computer vision tasks, as a visual feature extractor to gradually sample features at different levels and combine features obtained from a text feature extractor and image frequency domain information at different levels for fine-grained modeling. In addition, we design a feature fusion approach to better establish connections between modalities, which can further improve the performance and thus surpass other network structures in the literature. We conducted extensive experiments on two real datasets, Weibo and Twitter, where our method achieved 83.3% accuracy on the Twitter dataset, which has increased by at least 4.3% compared to other state-of-the-art methods. This demonstrates the effectiveness of MPFN for identifying fake news, and the method reaches a relatively advanced level by combining different levels of information from each modality and a powerful modality fusion method.","2022","[""Misinformation and Its Impacts"", ""Spam and Phishing Detection"", ""Advanced Malware Detection Techniques""]","[""T11147"", ""T11644"", ""T11241""]","Misinformation and Its Impacts","[""Computer science"", ""Exploit"", ""Modalities"", ""Modality (human–computer interaction)"", ""Artificial intelligence"", ""Feature (linguistics)"", ""Extractor"", ""Pattern recognition (psychology)"", ""Computer security"", ""Philosophy"", ""Linguistics"", ""Engineering"", ""Process engineering"", ""Social science"", ""Sociology""]"
"W3037666784","SpotFake+: A Multimodal Framework for Fake News Detection via Transfer Learning (Student Abstract)","In recent years, there has been a substantial rise in the consumption of news via online platforms. The ease of publication and lack of editorial rigour in some of these platforms have further led to the proliferation of fake news. In this paper, we study the problem of detecting fake news on the FakeNewsNet repository, a collection of full length articles along with associated images. We present SpotFake+, a multimodal approach that leverages transfer learning to capture semantic and contextual information from the news articles and its associated images and achieves the better accuracy for fake news detection. To the best of our knowledge, this is the first work that performs a multimodal approach for fake news detection on a dataset that consists of full length articles. It outperforms the performance shown by both single modality and multiple-modality models. We also release the pretrained model for the benefit of the community.","2020","[""Misinformation and Its Impacts"", ""Topic Modeling"", ""Spam and Phishing Detection""]","[""T11147"", ""T10028"", ""T11644""]","Misinformation and Its Impacts","[""Computer science"", ""Rigour"", ""Modality (human–computer interaction)"", ""Transfer of learning"", ""Fake news"", ""Artificial intelligence"", ""Data science"", ""Information retrieval"", ""Machine learning"", ""Internet privacy"", ""Geometry"", ""Mathematics""]"
"W3126813721","An Integrated Multi-Task Model for Fake News Detection","Fake news detection attracts many researchers’ attention due to the negative impacts on the society. Most existing fake news detection approaches mainly focus on semantic analysis of news’ contents. However, the detection performance will dramatically decrease when the content of news is short. In this paper, we propose a novel <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">fake news detection multi-task learning (FDML)</i> model based on the following observations: 1) some certain topics have higher percentages of fake news; and 2) some certain news authors have higher intentions to publish fake news. FDML model investigates the impact of topic labels for the fake news and introduce contextual information of news at the same time to boost the detection performance on the short fake news. Specifically, the FDML model consists of representation learning and multi-task learning parts to train the fake news detection task and the news topic classification task, simultaneously. As far as we know, this is the first fake news detection work that integrates the above two tasks. The experiment results show that the FDML model outperforms state-of-the-art methods on real-world fake news dataset.","2021","[""Misinformation and Its Impacts"", ""Spam and Phishing Detection"", ""Topic Modeling""]","[""T11147"", ""T11644"", ""T10028""]","Misinformation and Its Impacts","[""Computer science"", ""Task (project management)"", ""Information retrieval"", ""Management"", ""Economics""]"
"W3034027410","Weak Supervision for Fake News Detection via Reinforcement Learning","Today social media has become the primary source for news. Via social media platforms, fake news travel at unprecedented speeds, reach global audiences and put users and communities at great risk. Therefore, it is extremely important to detect fake news as early as possible. Recently, deep learning based approaches have shown improved performance in fake news detection. However, the training of such models requires a large amount of labeled data, but manual annotation is time-consuming and expensive. Moreover, due to the dynamic nature of news, annotated samples may become outdated quickly and cannot represent the news articles on newly emerged events. Therefore, how to obtain fresh and high-quality labeled samples is the major challenge in employing deep learning models for fake news detection. In order to tackle this challenge, we propose a reinforced weakly-supervised fake news detection framework, i.e., WeFEND, which can leverage users' reports as weak supervision to enlarge the amount of training data for fake news detection. The proposed framework consists of three main components: the annotator, the reinforced selector and the fake news detector. The annotator can automatically assign weak labels for unlabeled news based on users' reports. The reinforced selector using reinforcement learning techniques chooses high-quality samples from the weakly labeled data and filters out those low-quality ones that may degrade the detector's prediction performance. The fake news detector aims to identify fake news based on the news content. We tested the proposed framework on a large collection of news articles published via WeChat official accounts and associated user reports. Extensive experiments on this dataset show that the proposed WeFEND model achieves the best performance compared with the state-of-the-art methods.","2020","[""Misinformation and Its Impacts"", ""Spam and Phishing Detection"", ""Advanced Malware Detection Techniques""]","[""T11147"", ""T11644"", ""T11241""]","Misinformation and Its Impacts","[""Leverage (statistics)"", ""Computer science"", ""Fake news"", ""Reinforcement learning"", ""Social media"", ""Labeled data"", ""Quality (philosophy)"", ""News media"", ""Detector"", ""Dissemination"", ""Artificial intelligence"", ""World Wide Web"", ""Internet privacy"", ""Advertising"", ""Telecommunications"", ""Philosophy"", ""Business"", ""Epistemology""]"
"W4307907065","Deep learning for fake news detection: A comprehensive survey","The information age enables people to obtain news online through various channels, yet in the meanwhile making false news spread at unprecedented speed. Fake news exerts detrimental effects for it impairs social stability and public trust, which calls for increasing demand for fake news detection (FND). As deep learning (DL) achieves tremendous success in various domains, it has also been leveraged in FND tasks and surpasses traditional machine learning based methods, yielding state-of-the-art performance. In this survey, we present a complete review and analysis of existing DL based FND methods that focus on various features such as news content, social context, and external knowledge. We review the methods under the lines of supervised, weakly supervised, and unsupervised methods. For each line, we systematically survey the representative methods utilizing different features. Then, we introduce several commonly used FND datasets and give a quantitative analysis of the performance of the DL based FND methods over these datasets. Finally, we analyze the remaining limitations of current approaches and highlight some promising future directions.","2022","[""Misinformation and Its Impacts"", ""Spam and Phishing Detection"", ""Topic Modeling""]","[""T11147"", ""T11644"", ""T10028""]","Misinformation and Its Impacts","[""Computer science"", ""Deep learning"", ""Context (archaeology)"", ""Focus (optics)"", ""Machine learning"", ""Fake news"", ""Artificial intelligence"", ""Data science"", ""Social media"", ""Stability (learning theory)"", ""Internet privacy"", ""World Wide Web"", ""Biology"", ""Optics"", ""Physics"", ""Paleontology""]"
"W3200286571","OPCNN-FAKE: Optimized Convolutional Neural Network for Fake News Detection","Recently, there is a rapid and wide increase in fake news, defined as provably incorrect information spread with the goal of fraud. The spread of this type of misinformation is a severe danger to social cohesiveness and well-being since it increases political polarisation and people’s distrust of their leaders. Thus, fake news is a phenomenon that is having a significant impact on our social lives, particularly in politics. This paper proposes novel approaches based on Machine Learning (ML) and Deep Learning (DL) for the fake news detection system to address this phenomenon. The main aim of this paper is to find the optimal model that obtains high performance. Therefore, we propose an optimized Convolutional Neural Network model to detect fake news (OPCNN-FAKE). We compare the performance of the OPCNN-FAKE with Recurrent Neural Network (RNN), Long Short-Term Memory (LSTM), and The six regular ML techniques: Decision Tree (DT), logistic Regression (LR), K Nearest Neighbor (KNN), Random Forest (RF), Support Vector Machine (SVM), and Naive Bayes (NB) using four fake news benchmark datasets. Grid search and hyperopt optimization techniques have been used to optimize the parameters of ML and DL, respectively. In addition, N-gram and Term Frequency—Inverse Document Frequency (TF-IDF) have been used to extract features from the benchmark datasets for regular ML, while Glove word embedding has been used to represent features as a feature matrix for DL models. To evaluate the performance of the OPCNN-FAKE, accuracy, precision, recall, F1-measure were applied to validate the results. The results show that OPCNN-FAKE model has achieved the best performance for each dataset compared with other models. Furthermore, the OPCNN-FAKE has a higher performance of cross-validation results and testing results than the other models, which indicates that the OPCNN-FAKE for fake news detection is significantly better than other models.","2021","[""Misinformation and Its Impacts"", ""Spam and Phishing Detection"", ""Advanced Malware Detection Techniques""]","[""T11147"", ""T11644"", ""T11241""]","Misinformation and Its Impacts","[""Convolutional neural network"", ""Computer science"", ""Fake news"", ""Artificial intelligence"", ""Internet privacy""]"
